xHead	yHead	tHead	xTail	yTail	tTail	xBody	yBody	tBody	curvature	areaBody	perimeterBody	headMajorAxisLength	headMinorAxisLength	headExcentricity	tailMajorAxisLength	tailMinorAxisLength	tailExcentricity	bodyMajorAxisLength	bodyMinorAxisLength	bodyExcentricity	imageNumber	id
514.327	333.12	5.81619	499.96	327.727	6.10226	508.345	330.876	5.94395	0.000348442	78.5	74.8701	7.68378	2.98626	0.921388	11.4075	2.06461	0.983485	17.7578	2.86227	0.986924	0	0
463.603	327.051	0.301279	449.585	330.323	0.245547	458.058	328.346	0.238877	0.000110831	73	68.2843	7.26726	2.90844	0.916423	9.07073	2.125	0.972172	16.2063	2.51486	0.987887	0	1
23.9978	287.715	3.70646	34.9722	278.836	3.99819	29.2056	283.505	3.84844	0.000714195	78	70.9117	6.32086	3.02224	0.878284	11.0925	2.61304	0.971858	16.567	3.00962	0.983361	0	2
372.536	230.143	0.194641	354.226	231.604	6.08737	364.822	230.759	0.0515087	0.000617685	148.5	94.1838	9.44358	3.91359	0.910087	12.8426	3.39536	0.964418	21.0757	4.25124	0.979445	0	3
480.58	213.482	1.28236	478.125	228.52	1.53303	479.428	220.543	1.42567	0.00053927	102.5	76.8701	7.09962	3.45208	0.873828	11.8036	2.22489	0.982075	17.9204	3.02978	0.985604	0	4
171.682	143.55	6.09077	155.507	140.116	6.1146	164.913	142.113	6.08216	9.90518e-05	112.5	80.8701	8.2795	3.53004	0.904554	12.108	2.32141	0.981449	19.1404	2.98739	0.987745	0	5
498.151	121.32	6.00177	483.712	119.285	0.0223247	492.683	120.55	6.15298	0.000297913	85.5	73.2132	7.56282	3.35558	0.896178	10.5616	1.88565	0.983933	16.6121	3.04871	0.983015	0	6
329.56	123.418	6.08726	312.526	119.042	5.9098	322.531	121.614	6.01722	0.00040191	107	85.598	8.71782	3.33501	0.923934	12.9358	2.36751	0.983109	20.305	3.03029	0.988801	0	7
465.256	115.045	4.44359	470.057	99.911	4.40559	467.106	109.205	4.40862	0.00013778	95	81.9411	7.89111	3.46028	0.89873	12.3282	1.87458	0.988372	18.3227	2.8455	0.987867	0	8
423.663	66.3789	0.0888056	409.105	67.2971	6.12053	417.615	66.7623	0.0292602	0.000288352	87	77.1127	6.99986	3.51153	0.865066	10.9384	3.28622	0.953804	16.7977	3.58995	0.976896	0	9
