frame,timestamp,timestamp_by_camera,model,keypoint,x,y,z,reprojection_error
0,,{},mediapipe_body,nose,-201.15166886323135,-647.7226484998387,1593.9638047873707,15.305873213031624
0,,{},mediapipe_body,left_eye,-182.2792165191682,-686.8292104955405,1616.727481214197,13.950160407114808
0,,{},mediapipe_body,right_eye,-224.6860065038567,-688.1889062226679,1569.946086779729,14.88592897740614
0,,{},mediapipe_body,left_shoulder,-322.45304994158425,-536.2995511013361,1927.580307272309,6.406707622944583
0,,{},mediapipe_body,right_shoulder,-320.6691073472786,-419.3255865158771,1590.9557322489186,9.718335992414115
1,,{},mediapipe_body,nose,-207.7197964820492,-677.7525407896478,1704.1089532180242,9.371146664284018
1,,{},mediapipe_body,left_eye,-190.70339092183303,-712.8152006603783,1730.670390173798,7.788484672288438
1,,{},mediapipe_body,right_eye,-241.63531607723556,-723.5295109883517,1711.1914020976872,7.816014374773469
1,,{},mediapipe_body,left_shoulder,-270.1087954761606,-567.4667722694176,2070.098910966266,2.3297431343629227
1,,{},mediapipe_body,right_shoulder,-366.7367548192649,-472.1096867649187,1736.48454080315,4.74465042373495
2,,{},mediapipe_body,nose,-219.4437873326721,-717.3877987705805,1815.6920511400133,10.157890818869722
2,,{},mediapipe_body,left_eye,-202.3385551304493,-749.3057728984421,1844.951767761982,8.06113306416978
2,,{},mediapipe_body,right_eye,-258.6903844799581,-765.3090036118572,1840.765597642882,6.316648964906847
2,,{},mediapipe_body,left_shoulder,-235.251643772477,-590.9778287871109,2180.612429272393,4.385267037419195
2,,{},mediapipe_body,right_shoulder,-408.0857862809143,-525.1508676964637,1863.0887612786964,3.4760335913198475
