seconds,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8
0.000,853.333,173.355,879.044,323.819,730.230,389.222,910.810,200.811,914.220,284.565,nan,nan,833.499,324.053,nan,nan
0.036,851.169,177.764,879.409,325.199,732.275,372.255,909.576,194.233,914.435,279.166,919.600,328.776,834.133,322.715,927.162,363.556
0.071,850.036,181.323,879.547,329.014,732.888,359.755,909.400,189.004,914.575,277.495,920.704,326.551,833.979,322.834,926.991,365.727
0.107,848.774,185.883,879.901,333.748,735.686,345.207,908.460,182.530,914.813,273.771,922.303,322.522,835.117,321.088,926.839,369.297
0.143,847.765,188.879,880.004,335.427,740.985,333.390,906.992,175.712,914.951,272.169,923.145,320.500,834.867,321.152,926.749,372.961
0.179,846.782,193.481,880.241,338.431,747.910,322.874,905.404,169.920,915.220,270.700,923.986,318.477,836.520,317.726,926.660,376.625
0.214,846.153,197.263,880.388,339.647,754.880,314.019,904.614,165.450,915.942,268.627,924.971,315.905,837.413,313.725,926.491,379.175
0.250,845.928,200.703,880.498,343.712,762.478,305.233,903.607,159.972,916.154,264.933,925.407,314.320,838.796,308.770,926.255,382.768
0.286,845.800,203.437,880.545,347.107,769.954,296.449,902.828,154.714,916.256,262.729,926.241,310.536,840.014,304.247,926.045,385.260
0.321,844.979,206.105,880.769,349.022,775.935,289.504,902.478,150.330,916.659,260.425,926.449,309.035,841.141,300.980,925.798,387.560
