x,y,t,datetime,diff
0,0,1684510755,2023-09-14T15:37:55.9772416+01:00,0
0,0,1684527395,2023-09-14T15:37:55.9934208+01:00,0.0161791999998968
0,2,1684544035,2023-09-14T15:37:56.0098560+01:00,0.0164351999992505
0,3,1684560675,2023-09-14T15:37:56.0261632+01:00,0.0163071999995736
0,1,1684577315,2023-09-14T15:37:56.0425728+01:00,0.0164096000007703
0,0,1684593955,2023-09-14T15:37:56.0589824+01:00,0.0164096000007703
1,1,1684610595,2023-09-14T15:37:56.0752768+01:00,0.0162943999966956
1,5,1684627235,2023-09-14T15:37:56.0916992+01:00,0.0164224000036484
1,4,1684643875,2023-09-14T15:37:56.1082240+01:00,0.0165247999975691
0,6,1684660515,2023-09-14T15:37:56.1246464+01:00,0.0164224000036484
