frame,ACCELERATION#pcentroid (cm/s2),ACCELERATION#wcentroid (cm/s2),ANGLE,ANGULAR_A#centroid,ANGULAR_V#centroid,AX,AY,BORDER_DISTANCE#pcentroid (cm),MIDLINE_OFFSET,SPEED#wcentroid (cm/s),SPEED#smooth#wcentroid (cm/s),SPEED#pcentroid (cm/s),SPEED (cm/s),VX (cm/s),VY (cm/s),X#wcentroid (cm),X (cm),Y#wcentroid (cm),Y (cm),frame,midline_length,midline_x,midline_y,missing,normalized_midline,num_pixels,segment_length,time,timestamp
0.000,0.000,0.000,1.432,0.000,0.000,0.000,0.000,4.018,0.048,0.000,0.000,0.000,0.000,0.000,0.000,9.419,9.491,3.909,4.541,0.000,92.131,9.543,4.729,0.000,0.105,3294.000,0.065,0.000,0.000
1.000,95.918,2.020,1.437,0.562,0.019,61.158,570.183,4.015,0.029,0.067,0.067,3.197,19.115,2.039,19.006,9.419,9.487,3.907,4.542,1.000,91.281,9.537,4.728,0.000,0.061,3285.000,0.064,0.033,33333.000
2.000,94.033,0.199,1.437,-0.839,-0.009,58.090,570.093,4.008,0.009,0.062,0.062,3.073,19.036,1.915,18.939,9.418,9.483,3.905,4.538,2.000,90.557,9.531,4.723,0.000,0.032,3287.000,0.064,0.067,66666.000
3.000,98.959,4.300,1.447,0.829,0.018,58.745,566.594,4.013,0.071,0.082,0.082,3.242,18.929,1.936,18.829,9.419,9.482,3.907,4.532,3.000,93.880,9.532,4.725,0.000,0.087,3287.000,0.066,0.100,100000.000
4.000,89.095,4.938,1.447,1.212,0.059,56.842,562.740,4.008,0.010,0.093,0.093,3.043,18.931,1.928,18.833,9.420,9.483,3.904,4.535,4.000,90.928,9.529,4.721,0.000,0.003,3269.000,0.064,0.133,133333.000
5.000,101.854,4.040,1.444,-1.327,0.015,53.803,575.102,4.014,0.019,0.042,0.042,3.303,19.167,1.819,19.080,9.419,9.480,3.905,4.540,5.000,90.808,9.527,4.726,0.000,0.033,3277.000,0.064,0.167,166666.000
6.000,95.968,0.610,1.443,-1.457,-0.034,55.573,569.338,4.013,0.006,0.048,0.048,3.238,19.103,1.831,19.015,9.419,9.480,3.907,4.539,6.000,90.507,9.527,4.724,0.000,-0.002,3274.000,0.064,0.200,200000.000
7.000,91.231,5.783,1.515,-0.769,-0.060,43.324,583.787,4.005,0.055,0.155,0.155,3.085,19.560,1.440,19.507,9.423,9.467,3.903,4.557,7.000,95.008,9.477,4.759,0.000,0.094,3264.000,0.067,0.233,233333.000
8.000,106.923,9.434,1.435,3.529,0.058,54.738,573.867,4.018,0.077,0.160,0.160,3.447,19.122,1.938,19.023,9.419,9.487,3.907,4.537,8.000,93.537,9.541,4.728,0.000,0.116,3272.000,0.066,0.267,266666.000
9.000,96.137,6.861,1.430,0.767,0.084,66.684,567.369,4.017,0.021,0.076,0.076,3.315,19.129,2.099,19.014,9.419,9.489,3.904,4.541,9.000,91.131,9.542,4.725,0.000,0.012,3279.000,0.064,0.300,300000.000
